cam_iso,beta1,beta2
IP_00100,0.000702,0.000003
IP_00400,0.000735,0.000003
IP_00800,0.000723,0.000003
IP_01600,0.000687,0.000002
GP_00100,0.000228,0.000002
GP_00400,0.000886,0.000005
GP_00800,0.001764,0.000012
GP_01600,0.003519,0.000045
GP_03200,0.007029,0.000179
S6_00100,0.000479,0.000002
S6_00400,0.001774,0.000002
S6_00800,0.003696,0.000002
S6_01600,0.008211,0.000002
S6_03200,0.019930,0.000002
N6_00100,0.000473,0.000003
N6_00400,0.001760,0.000013
N6_00800,0.003476,0.000052
N6_01600,0.006909,0.000208
N6_03200,0.013773,0.000833
G4_00100,0.000739,0.000002
G4_00400,0.001860,0.000002
G4_00800,0.003356,0.000063
